objektidentitet,lannamn,kommunnamn,sockenstadnamn,
3AB5A332-1C87-46F7-B3A8-E9374DF6697B,Skåne,Landskrona,Sankt Ibb,
3ADA8171-246E-4722-9436-40676FB50160,Jämtland,"Bräcke, Östersund, Östersund, Bräcke, Östersund",Brunflo,
3ADFD584-FE61-475C-9F0F-46E682970F0E,Västerbotten,"Skellefteå, Norsjö, Skellefteå",Skellefteå,
3AEC9063-67FD-43B9-B0BB-918ECA4CE9F4,Västra Götaland,"Färgelanda, Munkedal",Sanne,
3AF09474-DDEE-4565-B824-F3F07AF9E1A3,Västra Götaland,"Töreboda, Mariestad, Gullspång, Gullspång",Lyrestad,
3AF3659E-FAA8-466F-917B-051C394D15F5,"Stockholm, Uppsala","Norrtälje, Uppsala",Ununge,
3B09479E-DF50-4EAF-A223-9547CC3B57F8,Blekinge,Karlshamn,Hällaryd,
3B1B54E8-3172-43AA-9A23-ECB177B40326,Västra Götaland,Tidaholm,Acklinga,
3B1EC12E-827A-4119-A13A-A7E4E626AD25,Västra Götaland,"Vara, Essunga, Vara",Eling,
3B319F29-EA27-4961-B84C-A10B225A2745,"Stockholm, Uppsala","Norrtälje, Östhammar",Singö,
3B327382-8C30-4022-8660-444E5C3A9FC3,Stockholm,"Danderyd, Lidingö, Täby, Vaxholm",Djursholm,
3B3DB97C-5B33-4F1F-BD2E-A68E7BADAA5C,"Södermanland, Södermanland, Uppsala","Strängnäs, Strängnäs, Enköping",Överselö,
3B437D4D-3862-4F7C-A987-752C9C015426,Västernorrland,"Härnösand, Timrå, Timrå",Stigsjö,
3B4A27A6-60E8-479F-907E-4F5392F5E5FD,Gävleborg,"Hudiksvall, Nordanstig",Hög,
3B4D6B7F-6528-4B6A-B3BF-743B7029539C,"Örebro, Västmanland","Örebro, Arboga",Stora Mellösa,
3B51792C-0D77-440F-AFEE-40E04F1360CE,Västra Götaland,"Orust, Stenungsund, Tjörn, Stenungsund",Norum,
3B5F248F-8328-4BD4-BAB5-60640AA11BF2,Västra Götaland,Svenljunga,Revesjö,
3B68DCCB-0E42-4E0C-B4C9-CD90945EA843,Skåne,Kristianstad,Gustav Adolf,
3B83C278-64B6-4A22-8BA4-C5D3EFECA888,Västra Götaland,"Ale, Lilla Edet, Trollhättan, Alingsås, Ale, Ale",Ale-Skövde,
3BAE4586-1F50-4A5A-9C3F-F7067276F446,Uppsala,"Enköping, Uppsala",Fittja,
3BC97193-9218-4EE2-81B7-B22D030F9904,Kalmar,"Borgholm, Mörbylånga, Borgholm",Gärdslösa,
3BEE75F0-90CB-4DCC-8D75-E949BB38B0D7,Norrbotten,Kiruna,Kiruna,
3BF23446-1C90-4B1C-9491-403238DF2913,Västra Götaland,"Orust, Uddevalla",Högås,
3C01EB38-E58F-48D9-B875-01662B559CD7,Uppsala,Östhammar,Östhammar,
3C21DDDD-6B30-421A-969D-877A95FEC60A,Västra Götaland,"Skara, Skara, Falköping",Norra Lundby,
3C2798A3-A62F-4CB8-AA43-40E590A09D04,Västra Götaland,Falköping,Brismene,
3C3EBA00-A966-4719-99B8-9F9A52C36762,Västra Götaland,"Falköping, Skara, Skövde",Varnhem,
3C410E42-CF74-4797-BDCA-23C1777778B1,Jönköping,"Sävsjö, Nässjö, Vetlanda",Norra Sandsjö,
3C455274-227B-4817-BBDF-0AFD9ACD0B55,Gotland,Gotland,Sanda,
3C732DE0-C955-47BD-B1C5-A13190E3845B,Skåne,"Eslöv, Lund, Eslöv",Holmby,
3C799DD7-57A8-489B-B3A2-A11E727A5F30,"Stockholm, Södermanland, Södermanland, Södermanland, Stockholm","Södertälje, Gnesta, Gnesta, Nyköping, Gnesta, Södertälje",Frustuna,
3C83A495-E3BD-4C11-BAFE-D3D105C3BB52,Västra Götaland,Grästorp,Grästorp,
3C8CC7E0-23DA-48C9-91BD-639BCD74F72B,Skåne,Helsingborg,Helsingborg,2022-07-24
3C8E3CBC-E9AF-43CC-A945-4DD2BF7151FE,"Värmland, Dalarna","Filipstad, Hagfors, Malung-Sälen",Gustav Adolf,
3C927D36-1569-4867-A6F2-2AB860356055,Örebro,"Örebro, Lekeberg, Karlskoga, Nora, Örebro",Tysslinge,
3CAA429E-7FB1-41CC-83EE-D2B93C736D00,Västra Götaland,Lidköping,Hovby,
3CB69819-A97F-4DA3-9CAC-1E224244C349,Västra Götaland,"Vänersborg, Färgelanda, Uddevalla",Frändefors,
3CD4D396-6B42-4863-B439-6BCCF25AA9A5,Örebro,"Laxå, Askersund, Askersund, Laxå",Askersund,
3D1B29DB-DE17-4915-884A-895CCBD4F70F,Södermanland,"Oxelösund, Nyköping, Nyköping",Svärta,
3D435C70-F2C4-4909-B4D5-627047AD426B,"Halland, Kronoberg","Halmstad, Hylte, Ljungby",Lidhult,
3D5A8446-13DC-4305-B9DE-4B8EF2D925F6,Västmanland,"Kungsör, Hallstahammar, Köping, Surahammar",Munktorp,
3D5AC5CD-1D34-4B46-9EA0-FC61E37ECB87,Skåne,"Ystad, Tomelilla",Stora Köpinge,2021-06-01
3D64B7B5-5DC7-4DF3-A78F-6AAC26A4DC7D,Västra Götaland,"Alingsås, Alingsås, Vårgårda",Rödene,
3D70C483-6152-498E-BE8D-BE336EE503A4,Östergötland,"Valdemarsvik, Söderköping",Börrum,
3D783114-2D56-4713-ABC4-46E95F5B43B8,Västernorrland,Örnsköldsvik,Örnsköldsvik,
3D827510-9263-4C2E-A3BE-083EEF9C3292,Västra Götaland,"Vänersborg, Trollhättan, Grästorp, Grästorp",Västra Tunhem,
3D9DF3AC-4A43-4394-A670-7BFD9DD7BA5B,Stockholm,"Österåker, Norrtälje, Vallentuna",Riala,
3DA01647-A9E4-4B21-9884-2934B823D60B,Stockholm,"Vaxholm, Österåker, Värmdö, Vallentuna, Norrtälje",Österåker,
3DBB0A02-8A03-4C3F-A6BC-AE9F687F0BB0,"Uppsala, Västmanland, Uppsala","Enköping, Sala, Enköping",Frösthult,
3DC286F2-7D95-45E0-8BF2-3142982294E6,Skåne,"Hässleholm, Kristianstad",Vinslöv,
3E0F9B90-D946-4223-A29C-68874FB9CB8C,Östergötland,Linköping,Askeby,
3E1D0F0F-C297-4A30-8678-F8D359441E00,"Halland, Kronoberg","Halmstad, Hylte, Ljungby",Femsjö,
3E5B37FF-5DF8-4BDE-8789-27B322BF3A0F,Västra Götaland,"Skövde, Hjo, Tibro, Karlsborg, Skövde",Tibro,
3E7B12BD-1F83-4F4D-8D57-5CF1ECEAC713,"Jönköping, Västra Götaland","Mullsjö, Falköping",Vistorp,
3E8038FF-477C-45C1-B29D-01C0A3C2A45B,Västra Götaland,Vara,Kvänum,
3E82CDCF-9822-4B42-A8D8-8C16C9A3A309,Stockholm,"Haninge, Värmdö",Nämdö,
3E8D4C99-A893-4442-AED2-40F0FAA3C9B8,Västra Götaland,"Skara, Skövde, Falköping",Sätuna,
3EA7EA49-FB59-4767-BC3C-F66564679120,Skåne,"Eslöv, Svalöv, Eslöv",Trollenäs,2022-07-24
3F00B6AC-0A55-4F6A-84F9-F0A9827A695C,Gävleborg,"Ovanåker, Bollnäs, Ljusdal, Ljusdal",Undersvik,
3F27745A-A59D-480C-9198-C5067E6CDA9A,Gotland,Gotland,Hall,
3F2B0CC6-ACCE-4001-8E0E-B6FAEF5F9DFF,Västra Götaland,"Skövde, Töreboda, Mariestad, Töreboda",Sveneby,
3F4BA84E-0D96-4FCC-B9B8-E8B8F4B50D74,"Östergötland, Södermanland","Norrköping, Nyköping, Oxelösund",Tunaberg,
3F4F489C-C2F6-4E00-9106-338A2C7F1E49,"Västernorrland, Gävleborg, Västernorrland","Ånge, Nordanstig, Hudiksvall, Ljusdal, Sundsvall, Sundsvall",Hassela,
3F522C70-E7B2-4B5F-9950-18B4DF4E88C1,Uppsala,"Östhammar, Tierp",Forsmark,
3F73B6B5-D0B2-4EF2-86BC-5341D113F382,Östergötland,"Mjölby, Vadstena",Herrestad,
3F900CBE-D848-4376-9714-B8424F878D7D,"Västernorrland, Jämtland, Västerbotten","Sollefteå, Strömsund, Dorotea",Bodum,
3F95A0A7-7A55-4D6E-8AE8-15600DFC3388,Skåne,"Lomma, Kävlinge",Hög,
3FCCB8B1-C075-42A7-9136-C84F1A457639,Skåne,"Kristianstad, Kristianstad, Hörby",Östra Sönnarslöv,
3FE0DBE7-92B9-46A3-949E-F8CA04934924,Skåne,"Eslöv, Hörby",Västerstad,
3FFA10C6-EE2B-487E-8227-58D4290B6242,Västra Götaland,Ulricehamn,Hällstad,
4007C4C0-5CCD-4943-B93F-90D0B3AD890A,Västra Götaland,"Kungälv, Tjörn, Stenungsund, Stenungsund, Kungälv",Solberga,
40113FA7-5B19-4146-BE51-360597EF309B,Västra Götaland,"Vara, Essunga, Grästorp",Hyringa,
40750672-8CE5-4538-A693-41B68E772BCA,Östergötland,"Söderköping, Norrköping, Norrköping",Östra Ny,
407CA23F-CECD-4BAF-A87C-2661243EE238,"Blekinge, Kalmar","Karlskrona, Torsås, Kalmar, Emmaboda",Gullabo,
408B3B93-D652-4911-9E96-48C96C32B525,Västra Götaland,"Orust, Orust, Uddevalla",Torp,
4097B038-BA7C-4988-87F4-C456B7FD6DA7,Gävleborg,"Ockelbo, Gävle, Söderhamn",Hamrånge,
40AD1627-E7DF-4A6D-8683-C3E407998124,"Uppsala, Stockholm, Stockholm, Uppsala","Håbo, Upplands-Bro, Enköping, Upplands-Bro, Håbo",Kalmar,
40CA4026-F8D6-4E22-B92C-B8A09DB0C0BD,Västra Götaland,"Töreboda, Skövde, Töreboda, Mariestad",Hjälstad,
40D72C0F-5956-4C87-9BE8-F33FF6ACDD02,Jönköping,"Vetlanda, Eksjö, Vetlanda",Mellby,
40F2AE26-7E1D-46E2-8240-1A9B2FCF983A,Gotland,Gotland,Vallstena,
4105DF81-CB25-4C66-AFB8-0C0B910287D8,Kalmar,Hultsfred,Gårdveda,
41134B66-911B-4CE8-96CC-6CE0021CD066,Stockholm,"Nacka, Värmdö, Lidingö, Vaxholm",Boo,
411E618F-AC3B-462A-AFE0-D01CF58B9DBE,Västra Götaland,Hjo,Hjo,
411F9D55-1DF9-48C1-B116-1F88C77B70B3,Gotland,Gotland,Västergarn,
412F2391-A960-4A07-A304-6B1B2009B619,Skåne,"Ängelholm, Helsingborg, Åstorp",Strövelstorp,
413B4F0B-349F-488C-9001-FA4D39CF014C,"Jönköping, Kronoberg, Halland, Jönköping","Värnamo, Ljungby, Hylte, Gislaved, Värnamo",Ås,
414DB03D-6439-45CD-9378-1C97B0A2DC93,Skåne,Trelleborg,Simlinge,
4152A7C8-9C9B-4CE7-AC54-E94FA74E504D,Västra Götaland,Ulricehamn,Timmele,
4159CC76-42D1-4CF6-8692-EB6A7329EEBA,Skåne,Sjöbo,Ilstorp,
41625087-F290-4577-86BD-9C3CD65D0F18,Stockholm,"Stockholm, Ekerö",Lovö,
417540E3-26F2-40E6-8DFD-72CE95B1D8AA,"Jönköping, Kronoberg, Jönköping","Vetlanda, Uppvidinge, Vetlanda",Lemnhult,
4177C5D5-3CA5-47FF-8417-A7EDDA685781,Västra Götaland,"Ulricehamn, Tranemo, Ulricehamn",Gällstad,
41C0ABC5-82B2-462F-BAD0-4D916CC69ACF,Västra Götaland,"Härryda, Mölndal, Göteborg, Härryda",Mölndal,
41D75F2A-F608-418A-83CE-2786AFA3954B,Västra Götaland,"Färgelanda, Vänersborg, Färgelanda",Ödeborg,
41DF75FC-80D8-44C2-945B-FFD46AD6DD90,Stockholm,"Stockholm, Lidingö, Nacka, Solna, Huddinge, Sundbyberg, Tyresö, Ekerö, Danderyd, Järfälla, Sollentuna",Stockholm,
41EC9849-5E3F-467A-B516-8477CBC9BF64,Skåne,"Eslöv, Svalöv, Höör, Klippan",Billinge,
4212532B-521B-4145-AB8D-C02A3E0282C3,"Värmland, Västra Götaland, Värmland, Örebro","Kristinehamn, Gullspång, Kristinehamn, Degerfors",Visnum,
421AF169-6A70-48F7-9531-519D4C1A5996,Västra Götaland,Falköping,Östra Tunhem,
4222A460-E85A-4EB8-BFC9-5C73CA39F850,Skåne,"Svalöv, Helsingborg, Bjuv",Halmstad,
42333B55-3557-4C07-9630-836B832454BC,Skåne,"Simrishamn, Simrishamn, Tomelilla",Östra Herrestad,
42561007-E1B6-44BB-A1AC-3078D8588337,Västra Götaland,"Lidköping, Lidköping, Grästorp",Lavad,
42739CCD-55C7-469F-91FF-B53D6DB2F9EB,Uppsala,"Enköping, Uppsala, Heby",Österunda,
42857DD8-2E68-4FC3-81E5-F99E4D1A4AAB,Skåne,"Landskrona, Svalöv",Billeberga,
4298FE24-04F9-469E-A7C2-2EF6CD1D3970,"Jämtland, Jämtland, Västernorrland","Bräcke, Ragunda, Bräcke, Ragunda, Sollefteå",Ragunda,
42A5CAE8-F2D4-40BB-88F3-DBC62CEB3A04,Halland,Halmstad,Övraby,
42B63911-45CF-409C-B73F-89AA5F238ECE,Gotland,Gotland,Hablingbo,
42F5EF15-01EE-4EFF-A9D9-211E1881E8E9,Västra Götaland,"Götene, Falköping",Göteve,
4300125E-1A34-434F-9447-1133AC25EE94,"Gävleborg, Västernorrland, Västernorrland","Nordanstig, Sundsvall, Sundsvall",Attmar,
4307F864-8646-4799-BC4A-D63FA7C13867,Gävleborg,"Bollnäs, Söderhamn, Bollnäs",Rengsjö,
4321289A-D1E2-451B-9C6D-AEB256C12B8A,Skåne,Ystad,Ystad,2021-06-01
4340A645-FCAF-4657-8DBC-7BF3B8A353C3,Västra Götaland,"Orust, Tjörn, Orust",Tegneby,
43467E29-03EB-410E-95DF-722E5D0E89B7,Skåne,"Höör, Eslöv, Höör",Munkarp,
436C3B4E-693F-4910-8692-4708CC5C09CE,Skåne,"Skurup, Trelleborg, Skurup",Svenstorp,
43B375CB-954C-4EB2-8EF0-5E9D0EFC558B,Västra Götaland,"Kungälv, Tjörn",Lycke,
43CFBCE0-262D-40D2-BF09-8E794E7D7B09,Skåne,Östra Göinge,Emmislöv,
43DBB235-3800-4E3A-993D-F980A0054666,Västra Götaland,"Vänersborg, Mellerud",Bolstad,
43DBE099-A26B-413B-BBBF-1D331ED1C835,Skåne,Trelleborg,Hammarlöv,
44329AAB-C682-4CED-BC94-E4BAA2D0F1E2,Skåne,Kristianstad,Österslöv,
4468956A-1B9A-44C9-A41F-A7E56DD14AE9,Västra Götaland,Mellerud,Holm,
447AD695-0900-4DB6-82D0-46A4F109B2A0,"Kalmar, Kronoberg","Emmaboda, Nybro, Lessebo, Uppvidinge",Hälleberga,
447C42E4-9917-47D9-8961-AE2C272475BA,"Dalarna, Västmanland","Säter, Hedemora, Norberg, Smedjebacken, Avesta",Hedemora,
44897426-5D57-4B3D-8176-513012C1B332,"Halland, Jönköping","Hylte, Gislaved, Värnamo",Reftele,
4489C08E-34DE-4DC1-A7BC-2B8CEBAD02CA,"Södermanland, Stockholm, Södermanland","Gnesta, Nykvarn, Gnesta, Strängnäs",Gåsinge-Dillnäs,
44B21E16-3B2F-4653-849A-101CAB5F9C65,"Västra Götaland, Värmland","Dals-Ed, Bengtsfors, Årjäng",Nössemark,
44D9DD94-B1F3-4776-8DF7-3802D9F7224D,Västernorrland,"Sollefteå, Sollefteå, Örnsköldsvik",Ed,
450342DE-920C-4BF5-B3E9-3702EF4E0392,Skåne,"Lund, Trelleborg, Svedala, Skurup",Börringe,
45092C88-910A-436F-B21E-1082E50B0441,Halland,"Falkenberg, Varberg",Ullared,
4509F038-0CD4-4CE9-B558-B70A7035D03D,"Jämtland, Västerbotten, Jämtland","Strömsund, Krokom, Dorotea, Vilhelmina, Krokom",Frostviken,
45144513-A069-4860-B5CB-37C536743EDB,Halland,"Falkenberg, Varberg",Svartrå,
451779B6-871D-4597-8DDC-509B43ED7CCC,Västra Götaland,"Töreboda, Mariestad, Töreboda",Bäck,
452D644D-818D-4123-8C7B-D0685DB61761,Västra Götaland,"Stenungsund, Kungälv, Kungälv, Stenungsund, Tjörn",Jörlanda,
45A208B6-4C85-4CD8-91A6-DC3A70BE3583,"Halland, Västra Götaland","Kungsbacka, Göteborg, Mölndal",Askim,
45B19E64-D8F6-4735-AE41-CBD2102B9B3A,Västra Götaland,"Vara, Lidköping, Vara",Levene,
45B56A18-D772-48DD-B7CA-F14C1AB8CBD9,Västra Götaland,"Vara, Skara, Lidköping",Västra Gerum,
45D2F451-D8CC-4164-A7E3-3058CA926A0F,Halland,Laholm,Ränneslöv,
45F38FF5-3877-4C78-95DC-E04DC4F1E0D4,Gotland,Gotland,Bäl,
4636D40E-0597-4DCC-90E9-F4E0C8AD463C,Skåne,Trelleborg,Södra Åby,
464E90C8-EAD4-4460-8C9B-59DDDCEAFF1C,Västra Götaland,"Svenljunga, Tranemo, Borås, Ulricehamn",Länghem,
46549823-F427-4D5B-9B92-E6609246510B,Östergötland,Mjölby,Skänninge,
4664B989-B609-4548-BE22-FB3B99487544,Skåne,"Staffanstorp, Malmö, Svedala, Staffanstorp",Mölleberga,
468C944B-F545-48E7-A4EB-2937CAF5AD12,"Södermanland, Västmanland","Vingåker, Katrineholm, Eskilstuna, Arboga",Julita,
468F30CA-ED64-45B2-BA77-B0BA793FAB6A,"Jönköping, Östergötland","Tranås, Boxholm",Tranås,
46A82FCE-B094-4459-8440-F3662208282A,Södermanland,"Nyköping, Flen",Ripsa,
46AB1C46-F3E6-4F4C-98F7-8826986EDFAC,Västra Götaland,"Uddevalla, Orust",Resteröd,
46D10EF0-B10A-458C-8E67-DC8B137185BF,Skåne,"Klippan, Klippan, Ängelholm, Åstorp",Källna,
46F3D4E9-48F5-487F-A995-43BCE461E628,Skåne,"Lund, Staffanstorp, Lomma",Lund,
46FE1EAE-F184-4E0D-846A-1EC93DE9CB0B,Stockholm,"Södertälje, Nykvarn",Tveta,
471F6746-A28F-4E26-AABA-6DF17B718347,Örebro,Örebro,Gräve,
4721E7E0-9E70-411A-82D2-9C68DA8F1509,Halland,"Falkenberg, Varberg",Nösslinge,
472EBF53-2242-4DA7-91EE-196D14475764,"Halland, Halland, Kronoberg","Laholm, Laholm, Markaryd, Ljungby",Knäred,
475C9845-B26F-4439-A383-F163B6C83A16,Örebro,Nora,Nora,
4769FAA2-FEF4-4621-A7ED-2B306BAD09F2,Västmanland,"Västerås, Surahammar, Sala",Fläckebo,
4779B52D-EBB6-4729-A740-D0AC68708DC1,Uppsala,"Håbo, Enköping",Kulla,
47841864-A197-4C7E-B164-F57CF8005929,Västra Götaland,"Göteborg, Partille, Härryda, Lerum",Partille,
478BBCDE-98B9-4B21-9ED7-FBA0C52E06A9,Östergötland,"Ydre, Kinda, Boxholm, Ydre",Norra Vi,
479DF7B1-688B-4343-A9F8-69934F533EA0,"Värmland, Dalarna","Filipstad, Hagfors, Vansbro, Malung-Sälen, Torsby, Mora",Malung,
47A68B35-7077-4CC7-B691-612C1E98E46F,Västra Götaland,Götene,Kinne-Kleva,
47CB3D95-E272-406E-A816-FE6C7DE19E18,Skåne,Eslöv,Eslöv,
47D7590D-2E3A-4831-AB62-DDDFFE167521,Västra Götaland,"Härryda, Bollebygd, Lerum, Alingsås, Lerum",Skallsjö,
47DEAB37-2F4C-4281-A0DE-2FD40B6E7038,Blekinge,"Ronneby, Karlshamn",Bräkne-Hoby,
4822EC1C-951B-467E-AE99-0F248E37F645,Gotland,Gotland,Norrlanda,
48439AD2-BEC2-400F-9C96-E948A936208B,"Stockholm, Stockholm, Uppsala","Norrtälje, Norrtälje, Uppsala",Edsbro,
484693AA-01CD-4C78-876D-B77D5DEC5D85,Västra Götaland,Mark,Hajom,
48BA0A05-A942-4DBD-82CA-43B8DD8DE139,"Halland, Västra Götaland","Varberg, Mark, Kungsbacka",Horred,
48D53FD4-A398-40E6-B765-722F5CFF7A12,Värmland,"Filipstad, Hagfors, Filipstad",Nordmark,
48E13A52-011F-4256-9BCF-9E5389CE8F66,Gotland,Gotland,Öja,
49334F30-8CAE-402F-B25F-742DE91F4265,Stockholm,Norrtälje,Vätö,
4943DBA0-D6B1-4866-934E-C52C22C63191,Östergötland,"Boxholm, Mjölby",Mjölby,
4952443A-B35A-41BC-904E-D41AFC3004B2,"Västernorrland, Västerbotten","Örnsköldsvik, Sollefteå, Åsele, Lycksele, Vilhelmina, Dorotea",Åsele,
49F2EEC6-12B6-49B1-9AA3-CF94DC65097A,Skåne,Kristianstad,Nosaby,2022-05-07
4A1B0347-3329-4E82-B1DF-0BEEF1A1DBFE,Uppsala,Enköping,Villberga,
4A1C0F05-8536-4677-96C9-2EEC575AB0A0,"Stockholm, Uppsala","Sigtuna, Knivsta, Uppsala, Sigtuna, Knivsta",Östuna,
4A3C3D8E-E2E4-434B-965F-B7FB659801F2,Halland,Halmstad,Halmstad,
4A4CCD7D-6450-4107-93AC-E5AC971746E2,Värmland,"Säffle, Grums",Ed,
4A8F978B-A474-4FD9-9F94-2A0751F3E1A0,"Södermanland, Västmanland, Södermanland","Eskilstuna, Kungsör, Eskilstuna, Katrineholm",Öja,
4ACCA088-1974-4054-B049-E97479DE7C55,Skåne,"Vellinge, Malmö",Hököpinge,
4B0354DE-8015-47E6-A311-BE807DB76B7C,Östergötland,"Söderköping, Söderköping, Norrköping",Västra Husby,
4B0B401F-9496-4D91-B2F1-BDAEFCC262C6,Östergötland,Mjölby,Högby,
4B0EF25F-7E58-46A4-9BD5-757709324107,Södermanland,"Katrineholm, Katrineholm, Flen",Sköldinge,
4B2C6E29-44D8-4214-93DC-6D51E03E5744,Östergötland,"Motala, Mjölby, Vadstena",Allhelgona,
4B2E2E86-158E-4986-9C64-AF3A6408304C,Kalmar,Västervik,Lofta,
4B5CB572-60A6-4AD6-8456-9F8843C85682,Stockholm,Norrtälje,Rådmansö,
4B88453B-555B-47F6-B59E-6B44BC8331F3,Skåne,"Kävlinge, Eslöv, Svalöv",Reslöv,
4B899E7E-3C25-41BA-AAED-5A2A00282817,Västra Götaland,"Borås, Ulricehamn",Tvärred,
4BAA5757-8912-4188-8452-1E99E17681BC,Östergötland,"Mjölby, Vadstena",Bjälbo,
4BE72C7E-3CB2-4B64-A07A-1FA099BBE3CA,Halland,Falkenberg,Vinberg,
4BF842C0-94B0-4E3D-8190-D4084B696D92,Skåne,"Trelleborg, Trelleborg, Svedala",Anderslöv,
4C38F693-F56D-44F8-BF16-1B834EEB768A,Östergötland,"Åtvidaberg, Linköping",Värna,
4C52F7CA-414F-4689-BD8C-C5ACA026535E,Västmanland,"Västerås, Sala, Sala",Kila,
4C7FD398-6B74-4978-8F1B-7E033B38B87E,Västra Götaland,"Tranemo, Tranemo, Svenljunga",Ambjörnarp,
4C805EAD-9CC0-40DA-997F-AFFF26C7C161,Stockholm,"Solna, Danderyd, Sollentuna, Täby",Danderyd,
4C8BC0EF-2CEC-4039-ADAD-8C3C0E5953F2,Västra Götaland,Lidköping,Sunnersberg,
4C91C29E-7B3C-474B-936D-106ABB6D5B70,"Jönköping, Västra Götaland, Västra Götaland, Jönköping","Gislaved, Tranemo, Tranemo, Gislaved",Våthult,
4CCF0AFB-7462-4AF3-892E-76956552CE13,Västra Götaland,Mariestad,Leksberg,
4D0766B6-D4EA-4F3C-81B7-A5E7EC765268,"Skåne, Kronoberg, Kronoberg","Osby, Älmhult, Markaryd, Älmhult",Hallaryd,
4D17EFE6-74A1-4EB9-84D1-4603F908E7CC,Värmland,"Årjäng, Eda, Arvika",Järnskog,
4D1AA678-77CA-4FCE-B2FE-FC15765C67F1,Skåne,"Hässleholm, Östra Göinge, Kristianstad",Sörby,
4D2C4033-7183-48CF-9E10-FF635670E90D,Halland,Falkenberg,Fagered,
4D31F75E-F822-4AD9-AC22-D731A485F307,Värmland,"Forshaga, Karlstad",Alster,
4D7DDE31-9107-4827-B643-34B8BE3C32D3,Skåne,"Tomelilla, Sjöbo, Tomelilla",Tranås,
4DC6CCBE-58E4-4CC2-AA3B-349A56ACE841,Västerbotten,Umeå,Holmön,
4DD8C989-1D47-482C-BF62-2585E8AEFA00,Västra Götaland,"Skara, Skövde, Skara, Skövde",Öglunda,
4DD953B3-96CE-4C5F-B652-F3FA91391BEE,Västra Götaland,"Svenljunga, Tranemo",Örsås,
4DE3FA3F-F68D-4775-85A0-56B7F5746FEC,Gotland,Gotland,Vänge,
4DFAEBA7-6971-4706-8193-ED513B9AE0A2,Västra Götaland,"Ulricehamn, Herrljunga, Falköping",Börstig,
4E23D933-48D8-4E20-B1C9-EFB5DF7DA93B,Värmland,"Arvika, Årjäng, Eda",Älgå,
4E372302-B1F9-4C6F-BEE1-E443B8CDBB47,Dalarna,"Leksand, Leksand, Mora",Siljansnäs,
4E66D46B-6E7C-4B0A-9262-777AF264C4D6,Gävleborg,"Söderhamn, Söderhamn, Bollnäs",Mo,
4E78B5DF-1168-4A25-A89B-6F0973D5DA86,Örebro,"Lekeberg, Lekeberg, Örebro",Vintrosa,
4E792497-0DCC-4274-9327-55074041886D,Kalmar,"Mönsterås, Oskarshamn, Västervik",Misterhult,
4EF42FF9-1A57-4461-A106-35220A487E93,Skåne,"Kristianstad, Östra Göinge, Kristianstad",Knislinge,
4F0ADF38-32EB-4869-9514-B69E7FD4EB62,Kronoberg,"Uppvidinge, Växjö",Granhult,
4F0C33FA-AD54-4F5A-88BC-560042B4B3F7,Gotland,Gotland,Stånga,
4F146E2B-CD3C-4452-86BF-B0542A935BFE,"Södermanland, Stockholm, Södermanland","Strängnäs, Nykvarn, Strängnäs",Kärnbo,
4F69DD45-A7FE-4FA3-B977-45B26AEAAD33,Skåne,Höganäs,Höganäs,
4F7BA289-6684-4D14-B410-694FCC5B45BE,Skåne,"Simrishamn, Simrishamn, Tomelilla",Östra Vemmerlöv,
4F86EFA8-6491-4F76-81D9-8D0A069136B8,Västra Götaland,"Öckerö, Göteborg",Torslanda,
4F8FF90D-D12A-4BF7-95E8-D0C1199B050D,Kalmar,"Högsby, Oskarshamn, Hultsfred",Mörlunda,
4FDD2A88-F2F6-4714-87FA-A753840EC4B6,Kalmar,"Västervik, Vimmerby",Blackstad,
50060790-3C8A-463C-B716-606D9EAB0A63,Skåne,"Östra Göinge, Kristianstad, Osby, Östra Göinge",Hjärsås,
50196067-4221-440F-88EE-C1E7151FFEAB,"Gävleborg, Gävleborg, Uppsala","Gävle, Gävle, Sandviken, Älvkarleby, Ockelbo",Valbo,
5031179D-2AFB-45B4-AFDB-31D5175D8B57,"Gävleborg, Västernorrland","Nordanstig, Sundsvall",Njurunda,
5046E600-D8AF-4598-BB09-9BF592FADD0C,Gävleborg,"Hudiksvall, Hudiksvall, Nordanstig",Hälsingtuna,
5060D15A-A91B-4737-86EB-7489370F1F6C,Halland,Varberg,Träslöv,
50A461DF-FBB9-4B25-AAA9-1C4D5A5056CC,Skåne,Trelleborg,Dalköpinge,
50B91250-5FB1-47F3-988D-CDAFE8372CA5,"Halland, Halland, Jönköping","Hylte, Hylte, Gislaved",Kinnared,
50BBB963-CD9B-4526-9E51-9D85A015FA68,"Kronoberg, Jönköping","Uppvidinge, Vetlanda",Södra Solberga,
50CB8947-5B4B-426A-AB78-CCD08809DC74,Gävleborg,"Hudiksvall, Nordanstig",Ilsbo,
50CF0EDA-AFDF-4D2E-98F0-1120AC9C6289,Skåne,"Östra Göinge, Kristianstad",Färlöv,
51117208-194B-43CD-93A7-BAE2DCB13010,Västra Götaland,"Svenljunga, Borås",Toarp,
51269C23-5383-4B57-B270-71C556019E2D,Västra Götaland,Ulricehamn,Möne,
5142C89D-149F-4103-BB80-F86F43E3ED2E,Halland,"Varberg, Kungsbacka, Kungsbacka",Stråvalla,
51435101-EE88-4541-8054-3BD435A72E76,Västra Götaland,Götene,Husaby,
518359FA-5377-4548-94A6-834A5EB70BBF,"Värmland, Örebro, Värmland","Storfors, Hällefors, Filipstad, Storfors",Kroppa,
